,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
376,Appaloosa Fire,2016-07-02 14:55:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",310,CAL FIRE Tuolumne-Calaveras Unit,-120.61153,38.02845,2016-07-08 19:32:00,2016-07-08,2016-07-02
377,Scott Fire,2016-07-10 15:30:00,CAL FIRE Amador-Eldorado Unit,Sacramento,"off of Scotts Road and Latrobe Road, Rancho Murrieta",87,CAL FIRE Amador-Eldorado Unit,-121.103642,38.517771999999994,2016-07-11 06:35:00,2016-07-11,2016-07-10
378,Frame Fire,2016-07-04 17:15:00,CAL FIRE Fresno-Kings Unit,Fresno,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",145,CAL FIRE Fresno-Kings Unit,-120.62048,36.14161,2016-07-07 19:00:00,2016-07-07,2016-07-04
379,Broken Fire,2016-07-04 11:53:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",103,CAL FIRE Madera-Mariposa-Merced Unit,-119.65776000000001,37.256009999999996,2016-07-06 20:00:00,2016-07-06,2016-07-04
380,Kuehner Fire,2016-07-01 14:00:00,Ventura County Fire,Ventura,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",45,Ventura County Fire,-118.63264,34.27619,2016-07-01 19:50:00,2016-07-01,2016-07-01
381,Shelter Fire,2016-07-11 12:58:00,Ventura County Fire,Ventura,"off Volcan Mountain, north of Julian",15,Ventura County Fire,-116.58542,33.11645,2016-07-12 10:30:00,2016-07-12,2016-07-11
382,Pacheco Fire,2016-07-12 13:14:00,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"off Lanford Pacheco Rd, south of Valley Springs",341,CAL FIRE Tuolumne Calaveras Unit,-120.81393999999999,38.08056,2016-07-16 18:30:00,2016-07-16,2016-07-12
383,Stagecoach Fire,2016-07-12 15:19:00,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"off Stagecoach Rd and Hwy 4, south of Copperopolis",35,CAL FIRE Tuolumne Calaveras Unit,-120.67335,37.96311,2016-07-13 19:00:00,2016-07-13,2016-07-12
384,Dunnigan Fire,2016-07-15 14:00:00,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"off County Road 86 & County Road 6, west of Dunnigan",84,CAL FIRE Sonoma-Lake-Napa Unit,-122.04726000000001,38.8866,2016-07-15 15:40:00,2016-07-15,2016-07-15
385,Onyx Fire,2016-07-13 17:08:00,Kern County Fire / Sequoia National Forest ,Kern,"off Coyote Trail & Rocky Hill, East of Onyx",221,Kern County Fire / Sequoia National Forest ,-118.21793000000001,35.68313,2016-07-14 12:00:00,2016-07-14,2016-07-13
386,Sherwood Fire,2016-07-13 15:52:00,Ventura County Fire Department,Ventura,"near Lake Sherwood, southwest of Thousand Oaks",78,Ventura County Fire Department,-119.39618999999999,36.92244,2016-07-15 14:00:00,2016-07-15,2016-07-13
387,Famoso Fire,2016-07-15 23:55:00,Kern County Fire,Kern,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",138,Kern County Fire,-118.94811000000001,35.607479999999995,2016-07-16 07:40:00,2016-07-16,2016-07-15
388,Green Fire,2016-07-15 16:45:00,CAL FIRE Fresno County Fire,Fresno,"off Auberry Rd & White Thorne Rd, near Prather",123,CAL FIRE Fresno County Fire,-119.5792,37.0099,2016-07-16 18:00:00,2016-07-16,2016-07-15
389,Feather Fire,2016-07-18 13:08:00,CAL FIRE San Diego,San Diego,"off of El Capitan Truck Trail, south of Ramona ",100,CAL FIRE San Diego,-116.7945,32.9612,2016-07-20 13:45:00,2016-07-20,2016-07-18
390,Foothill Fire,2016-07-19 17:16:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"off Foothill Drive, community of Lucerne",69,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, North Shore Fire Protection District, Lake County Sheriff Department, and United States Forest Service",-122.7891,39.0863,2016-07-22 18:15:00,2016-07-22,2016-07-19
391,Bailey Fire,2016-07-19 14:09:00,CAL FIRE Siskiyou Unit,Siskiyou,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",26,CAL FIRE Siskiyou Unit,-122.59328000000001,41.961909999999996,2016-07-20 09:00:00,2016-07-20,2016-07-19
392,Goose Fire,2016-07-30 16:40:00,CAL FIRE Fresno-Kings Unit,Fresno,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",2241,"CAL FIRE Fresno-Kings Unit, US Forest Service, Fresno County OES, Fresno County Sheriff, California Department of Corrections, California Conservation Corps, California Highway Patrol, PG&E, CalTrans",-119.50506999999999,37.01591,2016-08-09 18:30:00,2016-08-09,2016-07-30
393,Baker Fire,2016-07-21 15:06:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,off Baker St & School St near Copperopolis ,57,CAL FIRE Tuolumne-Calaveras Unit,-120.64241000000001,37.98171,2016-07-22 19:00:00,2016-07-22,2016-07-21
394,Oak Fire,2016-07-22 13:01:00,CAL FIRE Sonoma-Lake-Napa Unit/Vacaville Fire Department,Solano,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",57,CAL FIRE Sonoma-Lake-Napa Unit/Vacaville Fire Department,-122.02564,38.33475,2016-07-22 16:07:00,2016-07-22,2016-07-22
395,Roblar Fire,2016-07-21 16:06:00,Camp Pendleton Military Base,San Diego,Roblar Rd and Case Springs (Camp Pendleton),1245,Camp Pendleton Military Base,-117.35093,33.393,2016-07-30 14:15:00,2016-07-30,2016-07-21
396,Table Fire,2016-07-21 20:30:00,CAL FIRE Siskiyou Unit,Siskiyou,"Table Rock Rd & Harry Cash Rd, Montague",23,CAL FIRE Siskiyou Unit,-122.36923999999999,41.71847,2016-07-22 12:00:00,2016-07-22,2016-07-21
397,Bradley Fire,2016-07-22 15:15:00,CAL FIRE San Benito-Monterey Unit,Monterey,"off Highway 101 and San Antonio River, south of Bradley ",100,CAL FIRE San Benito-Monterey Unit,-120.81081,35.85093,2016-07-23 08:45:00,2016-07-23,2016-07-22
398,Soberanes Fire,2016-07-22 08:48:00,US Forest Service - Los Padres National Forest,Monterey,"Soberanes Creek, Garrapata State Park, Palo Colorado, north of Big Sur",132127,US Forest Service - Los Padres National Forest,-121.89938000000001,36.45994,2016-10-13 11:30:00,2016-10-13,2016-07-22
399,Holy Fire,2016-08-31 04:10:00,Cleveland National Forest,Orange,off Trabuco Creek Rd near Holy Jim Trail,150,Cleveland National Forest,-117.5221,33.6542,2016-09-05 06:55:00,2016-09-05,2016-08-31
400,Ken Fire,2016-09-03 21:51:00,San Bernardino National Forest,San Bernardino,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,20,San Bernardino National Forest,-117.4415,34.25858,2016-09-04 18:55:00,2016-09-04,2016-09-03
401,Saddle Fire,2016-09-05 16:28:00,CAL FIRE / Butte County Fire,Butte,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",850,"CAL FIRE / Butte County Fire, Butte County Sherrif's Office, CHP, State Parks, CalTrans, NVADG, Butte County Public Works, Town of Paradise Public Works, Paradise P.D. Butte EMS, Butte County Search & Rescue, US Forest Service, BLM, and the California Conservation Corp",-121.571,39.6871,2016-09-12 14:51:00,2016-09-12,2016-09-05
402,Ruff Fire ,2016-09-10 14:06:00,CAL FIRE Mendocino Unit,Mendocino,"off of Hwy 101 and Woodruff Rd, north of Laytonville",50,CAL FIRE Mendocino Unit,-123.5044,39.7299,2016-09-15 09:10:00,2016-09-15,2016-09-10
403,Spring Fire,2016-09-07 16:53:00,San Bernardino County Fire ,San Bernardino,"off of Hwy 138 & Los Flores Rd, south of Hesperia",50,San Bernardino County Fire ,-117.3189,34.3183,2016-09-09 06:00:00,2016-09-09,2016-09-07
404,Phoenix Fire,2016-09-07 15:09:00,Tahoe National Forest,Nevada,west of Fordyce Lake near Soda Springs ,38,Tahoe National Forest,-120.51886999999999,39.39051,1969-12-31 16:00:00,1969-12-31,2016-09-07
405,Lake Fire,2016-09-10 15:45:00,CAL FIRE Shasta-Trinity Unit / Shasta Lake City Fire Department,Shasta,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",75,CAL FIRE Shasta-Trinity Unit / Shasta Lake City Fire Department,-122.4096,40.68192,2016-09-12 19:00:00,2016-09-12,2016-09-10
406,Storksbill Fire,2016-07-22 13:15:00,CAL FIRE Amador-El Dorado Unit,El Dorado,off Storksbill Rd in Pilot Hill ,50,"CAL FIRE Amador-El Dorado Unit, El Dorado Hills Fire, El Dorado County Fire, El Dorado County Sheriffs, BLM, State Parks, USFS, Garden Valley, CHP, Cameron Park Fire Deparment",-121.00299,38.79549,2016-07-23 18:00:00,2016-07-23,2016-07-22
407,Rock Fire,2016-07-22 14:47:00,CAL FIRE San Diego Unit,San Diego,"off Highway 67 & Rockhouse Road, near Ramona",28,CAL FIRE San Diego Unit,-116.9571,33.00056,2016-07-24 14:30:00,2016-07-24,2016-07-22
408,Franklin Fire,2016-07-24 16:30:00,CAL FIRE Santa Clara Unit,Contra Costa,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",40,CAL FIRE Santa Clara Unit,-122.1885,38.012640000000005,2016-07-24 19:00:00,2016-07-24,2016-07-24
409,Fork Fire,2016-07-29 17:55:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Off Mammoth Pool Rd & Douglas Ranger Station Rd, east of North Fork",38,CAL FIRE Madera-Mariposa-Merced Unit,-119.4741,37.24006,2016-07-31 18:55:00,2016-07-31,2016-07-29
410,Frymire Fire,2016-07-30 17:25:00,CAL FIRE Tuolumne-Calaveras unit,Tuolumne,"Off Frymire Rd & Morrison Rd, east of Oakdale",32,CAL FIRE Tuolumne-Calaveras unit,-120.69521,37.81434,2016-08-01 08:05:00,2016-08-01,2016-07-30
411,Sierra Fire,2016-07-30 17:25:00,CAL FIRE Santa Clara Unit,Santa Clara,"Off Sierra Rd & Calaveras Rd, Spring Valley",114,CAL FIRE Santa Clara Unit,-121.79668999999998,37.41896,2016-07-31 18:30:00,2016-07-31,2016-07-30
412,Gopher Fire,2016-08-10 09:14:00,CAL FIRE San Diego Unit,San Diego,"I-15 & Lawrence Welk Drive, Gopher Canyon",35,CAL FIRE San Diego Unit,-117.14546999999999,33.22558,2016-08-11 18:30:00,2016-08-11,2016-08-10
413,Baker Fire,2016-08-03 17:27:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",80,CAL FIRE Tehama-Glenn Unit,-122.26736000000001,40.19611,2016-08-04 07:50:00,2016-08-04,2016-08-03
414,99 Fire,2016-08-02 14:35:00,CAL FIRE Butte Unit,Butte,"Off of Highway 99 and Neal Road, south of Chico",550,CAL FIRE Butte Unit,-121.7192,39.6708,2016-08-03 08:00:00,2016-08-03,2016-08-02
415,Cold Fire,2016-08-02 16:36:00,CAL FIRE Sonoma Lake Napa Unit,Yolo,"off of Highway 128 west of Pleasants Valley Road, west of Winters",5731,"CAL FIRE Sonoma Lake Napa Unit, Winters FPD, CHP, Napa County Sheriff, Yolo County Sheriff, Solano County Sheriff, CAL TRANS, CAL OES, BLM, Yolo County OES, City of Winters, PG&E, City of Vacaville and California Conservation Corps.o County Sheriff, Cal Trans, BLM, Cal OES, Yolo County OES, City of Winters, PG&E, City of Vacaville",-122.06788,38.52513,2016-08-12 15:00:00,2016-08-12,2016-08-02
416,Hart Fire,2016-08-04 17:10:00,Kern County Fire,Kern,"off Hwy 58 and Hart Flat Rd, Tehachapi ",100,Kern County Fire,-118.60343999999999,35.24504,2016-08-07 20:15:00,2016-08-07,2016-08-04
417,Grub Fire,2016-08-04 14:13:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",85,CAL FIRE Madera-Mariposa-Merced Unit,-119.7738,37.3228,2016-08-06 19:50:00,2016-08-06,2016-08-04
418,Deer Fire,2016-08-05 13:49:00,CAL FIRE Amador - El Dorado Unit,Amador,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",26,CAL FIRE Amador - El Dorado Unit,-120.8657,38.2581,2016-08-06 10:06:00,2016-08-06,2016-08-05
419,Oak Fire,2016-08-12 16:00:00,CAL FIRE Santa Clara Unit,Santa Clara,off Uvas Rd & Watsonville Rd. west of Morgan Hill,25,CAL FIRE Santa Clara Unit,-121.68576999999999,37.06531,2016-08-14 19:50:00,2016-08-14,2016-08-12
420,Pilot Fire,2016-08-07 12:18:00,San Bernardino National Forest,San Bernardino,"Pilot Rock & Hwy 138, southeast of Hesperia",8110,"San Bernardino National Forest, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, Bureau of Land Management, CALTRANS, San Bernardino County Animal Control, American Red Cross, Southern California Edison",-117.27338,34.28771,2016-08-16 08:00:00,2016-08-16,2016-08-07
421,Kugelman Fire,2016-08-09 17:30:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"off of Kugelman St and Hwy 53, community of Lower Lake",45,CAL FIRE Sonoma-Lake-Napa Unit,-120.51057,36.099740000000004,2016-08-10 17:00:00,2016-08-10,2016-08-09
422,Knoxville Fire,2016-08-09 18:50:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",36,CAL FIRE Sonoma-Lake-Napa Unit,-122.26015,38.68403,2016-08-10 17:00:00,2016-08-10,2016-08-09
423,Mineral Fire,2016-08-09 13:08:00,CAL FIRE Fresno Kings Unit,Fresno,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",7050,"CAL FIRE Fresno Kings Unit, Fresno County Sheriffs Office, Fresno County OES, Fresno County Roads, Bureau Of Land Management, California Department of Corrections, City of Coalinga, California Conservation Corps, California Highway Patrol, CalTrans, Red Cross  www",-120.51057,36.099740000000004,2016-08-18 19:00:00,2016-08-18,2016-08-09
424,Blue Cut Fire,2016-08-16 10:44:00,San Bernardino National Forest ,San Bernardino,"off of I-15 and Hwy 138, north of San Bernardino ",36274,"San Bernardino National Forest , BNSF Railway, Union Pacific Railway, Cal Trans, Southern California Edison, LA DWP, American Red Cross, San Bernardino Animal Control, California Department of Corrections and Rehabilitation and the California Highway Patrol",-117.49342,34.30372,2016-08-23 07:45:00,2016-08-23,2016-08-16
425,Mountain Fire,2016-08-09 12:14:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Near Iron Mountain Road, south of Keswick ",35,CAL FIRE Shasta-Trinity Unit,-122.47091,40.61213,2016-08-10 17:00:00,2016-08-10,2016-08-09
426,Summit Fire,2016-08-12 17:23:00,CAL FIRE Humboldt-Del Norte,Humboldt,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,21,CAL FIRE Humboldt-Del Norte,-123.77832,40.9878,2016-08-19 08:30:00,2016-08-19,2016-08-12
427,Chimney Fire,2016-08-13 16:03:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,Running Deer Rd & Chimney Rock Rd south of Lake Nacimiento ,46344,"CAL FIRE San Luis Obispo Unit, California Highway Patrol, California State Parks, San Luis Obispo County Sheriff, Red Cross, California Department of Corrections and Rehabilitation, California Conservation Corps, PG&E, San Luis Obispo Air Quality Board, San Luis Obispo Public Works, Paso Robles Fire Department, Monterey Co. Water Resource Board, California Department of Fish and Wildlife, US Army Camp Roberts, CAL-OES, San Luis Obispo County OES, Monterey County Sheriff, Monterey County OES, Fort Hunter Liggett, and Los Padres National Forest.",-120.98316000000001,35.70595,2016-09-06 07:30:00,2016-09-06,2016-08-13
428,Clayton Fire,2016-08-13 18:03:00,CALFIRE Sonoma-Lake-Napa Unit,Lake,off Hwy 29 and Clayton Creek south of Lower Lake,3929,"CALFIRE Sonoma-Lake-Napa Unit, CAL FIRE, Multiple local government fire departments, USFS, Department of Fish & Game, CA State Parks, Lake County Sheriffs, CHP, PG&E, CDCR and BLM.",-122.60663999999998,38.89741,2016-08-26 18:00:00,2016-08-26,2016-08-13
429,Cedar Fire,2016-08-16 16:35:00,Sequoia National Forest,Kern,"off of Hwy 155 in the Greenhorn Mountains, west of Wofford Heights",29322,Sequoia National Forest,-118.5678,35.7506,2016-10-01 06:00:00,2016-10-01,2016-08-16
430,Stafford Fire,2016-08-11 14:57:00,CAL FIRE Humboldt-Del Norte,Humboldt,"Community of Stafford, 7 miles south of Fortuna",23,CAL FIRE Humboldt-Del Norte,-124.05803999999999,40.4572,2016-08-16 08:45:00,2016-08-16,2016-08-11
431,Boys Fire,2016-09-11 11:25:00,CAL FIRE Amador- El Dorado Unit / Sac Metro Fire,Sacramento,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",40,CAL FIRE Amador- El Dorado Unit / Sac Metro Fire,-121.1309,38.558,2016-09-12 19:00:00,2016-09-12,2016-09-11
432,Mokelumne Fire,2016-08-18 12:05:00,Stanislaus National Forest,Alpine,Mokelumne Wilderness,0,Stanislaus National Forest,-120.00606,38.575540000000004,2016-08-30 12:05:00,2016-08-30,2016-08-18
433,Sunny Fire,2016-09-03 14:44:00,CAL FIRE / Fresno County Fire,Fresno,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,158,CAL FIRE / Fresno County Fire,-119.34487,36.84479,2016-09-06 18:15:00,2016-09-06,2016-09-03
434,Oak Fire,2016-09-01 14:36:00,CAL FIRE Santa Clara Unit,Santa Clara,"Off Oak Glen Ave, 2 miles west of Morgan Hill",25,CAL FIRE Santa Clara Unit,-121.69783999999999,37.11831,2016-09-02 06:55:00,2016-09-02,2016-09-01
435,Beale Fire,2016-08-18 15:35:00,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",400,CAL FIRE Nevada-Yuba-Placer Unit,-121.38775,36.16965,2016-08-18 21:30:00,2016-08-18,2016-08-18
436,Mina Fire,2016-08-30 13:35:00,CAL FIRE Mendocino Unit,Mendocino,"off Mina Rd & Trinity County Line, 12 miles northeast of Covelo",36,CAL FIRE Mendocino Unit,-123.42670109999999,39.8748511,2016-08-31 07:15:00,2016-08-31,2016-08-30
437,Havilah Fire,2016-08-28 18:50:00,USFS Sequoia National Forest,Kern,south of Lake Isabella,304,USFS Sequoia National Forest,-118.5097,35.4976,2016-08-28 18:50:00,2016-08-28,2016-08-28
438,Gap Fire,2016-08-27 18:00:00,USFS Klamath National Forest,Siskiyou,"off Seiad Creek Rd, 5 miles northeast o Seiad Valley",33867,USFS Klamath National Forest,-123.118,41.851000000000006,2016-08-28 18:15:00,2016-08-28,2016-08-27
439,Bird Fire,2016-08-20 08:35:00,CAL FIRE Santa Clara Unit,San Joaquin,"off of Bird Rd & I-580, south of Tracy",147,CAL FIRE Santa Clara Unit,-121.36665,37.62215,2016-08-20 18:45:00,2016-08-20,2016-08-20
440,Tully Fire,2016-08-22 16:03:00,CAL Fire Humboldt-Del Norte Unit,Humboldt,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",599,"CAL Fire Humboldt-Del Norte Unit, CDCR, Yurok Tribe, BIA, USFS, CCC, NDF, and NDC.",-123.82268,41.284859999999995,2016-09-04 06:55:00,2016-09-04,2016-08-22
441,Willard Fire,2016-09-11 11:33:00,CAL FIRE Lassen-Modoc Unit,Lassen,"off of Willard Creek Road, west of Susanville",2575,"CAL FIRE Lassen-Modoc Unit, USFS LNF, BLM, Susanville City, Susanville Police, Sierra Army Depot, Standish Litchfield Fire, Milford Fire, Janesville Fire, Lake Forest Fire, Hamilton Branch Fire, California Department of Corrections and Rehabilitation, California Highway Patrol, Red Cross, Lassen County OES, Lassen County Sheriff’s Office, Susan River FD, Susanville City Fire, Bureau of Land Management, CA Office of Emergency Service, California Conservation Corp, and WM Beaty",-120.7845,40.3915,2016-09-22 07:00:00,2016-09-22,2016-09-11
442,Santos Fire,2016-08-26 15:30:00,CAL FIRE Butte Unit,Butte,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",88,CAL FIRE Butte Unit,-121.71661999999999,39.79547,2016-08-30 18:40:00,2016-08-30,2016-08-26
443,Willow Fire,2016-08-28 13:07:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Off Willow Creek Rd & Mountain Ranch Rd, east of San Andreas ",450,CAL FIRE Tuolumne-Calaveras Unit,-120.6381,38.1874,2016-08-31 18:50:00,2016-08-31,2016-08-28
444,Tule Fire,2016-08-22 22:00:00,US Forest Service - Sequoia National Forest,Tulare,"off Hwy 190, 4 miles northeast of Springville",395,US Forest Service - Sequoia National Forest,-118.73906000000001,36.1648,2016-11-08 10:15:00,2016-11-08,2016-08-22
445,Grade Fire,2016-08-24 14:55:00,CAL FIRE Siskiyou Unit,Siskiyou,"off Hwy 263, 2 miles north of Yreka ",710,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff, CHP, CAL TRANS, Siskiyou County OES",-122.611,41.7813,2016-08-30 06:45:00,2016-08-30,2016-08-24
446,Howard Fire,2016-09-11 14:15:00,CAL FIRE Lassen-Modoc Unit,Modoc,"in Howards Gulch, north of Canby ",380,CAL FIRE Lassen-Modoc Unit,-120.9066,41.4657,2016-09-14 18:00:00,2016-09-14,2016-09-11
447,Range Fire,2016-08-26 10:10:00,Kern County Fire Department,Kern,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",518,Kern County Fire Department,-118.7212,35.2013,2016-08-29 10:30:00,2016-08-29,2016-08-26
448,Mockingbird Fire,2016-08-30 16:54:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Off Hwy 29 & Mockingbird Lane, Upper Lake",20,CAL FIRE Sonoma-Lake-Napa Unit,-122.9148951,39.1408865,2016-08-31 07:05:00,2016-08-31,2016-08-30
449,Moffett Fire,2016-09-12 16:28:00,CAL FIRE Siskiyou Unit,Siskiyou,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",32,CAL FIRE Siskiyou Unit,-122.7933,41.6314,2016-09-13 18:30:00,2016-09-13,2016-09-12
450,Old Fire,2016-09-16 23:28:00,CAL FIRE Butte Unit,Butte,"Off of Old Chico Canyon, west of Forest Ranch",30,CAL FIRE Butte Unit,-121.6998,39.8851,2016-09-19 18:30:00,2016-09-19,2016-09-16
451,Hog Fire,2016-09-13 23:10:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",360,CAL FIRE Tehama-Glenn Unit,-122.1295,40.30594,2016-09-13 14:30:00,2016-09-13,2016-09-13
452,Old Fire,2016-09-13 13:55:00,Stanislaus National Forest,Del Norte,"off Old Yosemite Rd, 8 miles east of Greeley Hill",150,Stanislaus National Forest,-120.02962600000001,37.75972,2016-09-17 18:00:00,2016-09-17,2016-09-13
453,Auburn Fire,2016-09-17 13:40:00,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,Nevada,"Off South Auburn Street and Whiting Street, Grass Valley",47,CAL FIRE Nevada-Yuba-Placer Unit / Grass Valley Fire Department,-121.05948000000001,39.20427,2016-09-20 18:00:00,2016-09-20,2016-09-17
454,Owens River Fire,2016-09-17 13:49:00,Inyo National Forest,Inyo,"Clark Canyon, north of Mammoth Lakes, east of Hwy 395",5443,Inyo National Forest,-118.95308999999999,37.75985,2016-09-18 08:10:00,2016-09-18,2016-09-17
455,Soup Complex,2016-09-17 14:37:00,Modoc National Forest,Modoc,"Soup Springs, 12 miles east of Likely",2652,Modoc National Forest,-120.3178,41.2649,2016-10-13 11:30:00,2016-10-13,2016-09-17
456,Canyon Fire,2016-09-17 17:20:00,Vandenberg Air Force Base,Santa Barbara,"Santa Ynez Ridge Road and Egress Road, south side of Vandenberg Air Force Base",12518,Vandenberg Air Force Base,-120.54421,34.63445,2016-09-27 14:00:00,2016-09-27,2016-09-17
457,Washington Fire,2016-09-22 14:20:00,Vandenberg Air Force Base,Santa Barbara,"off Washington Ave. and Airfield Rd, north of California Blvd ",215,Vandenberg Air Force Base,-120.55297,34.75134,2016-09-27 14:00:00,2016-09-27,2016-09-22
458,Bangor Fire,2016-09-22 11:45:00,CAL FIRE Butte Unit,Butte,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",130,CAL FIRE Butte Unit,-121.42647,39.4403,2016-09-23 10:30:00,2016-09-23,2016-09-22
459,Butte Fire,2016-09-20 09:30:00,Beale Air Force Base,Sutter,off Pass Road and Kellogg Road (Near Sutter Buttes West of Yuba City,300,Beale Air Force Base,-121.78003000000001,39.188321,2016-09-20 18:00:00,2016-09-20,2016-09-20
460,Bell Fire,2016-09-23 13:12:00,CAL FIRE Amador-El Dorado Unit,Amador,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",45,"CAL FIRE Amador-El Dorado Unit, Amador Fire Protection District, Jackson Fire, Ione Fire, Sutter Creek Fire, CHP, Amador County Sheriff, Caltrans",-120.8416,38.5212,2016-09-25 17:45:00,2016-09-25,2016-09-23
461,Marshes Fire,2016-09-26 12:20:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,1080,"CAL FIRE Tuolumne-Calaveras Unit, Tuolumne County Sheriff’s Department, CHP, PG&E, OES, BLM, CAL FIRE, CDCR, U.S. Forest Service, City and County of San Francisco – Hetch Hetchy Water & Power. Nearly 100 different agencies from at least three different states have sent equipment and/or personnel to this fire.",-120.32484,37.79635,2016-10-04 22:00:00,2016-10-04,2016-09-26
462,Newmark Fire,2016-09-23 12:40:00,CAL FIRE Fresno-Kings unit,Fresno,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",70,CAL FIRE Fresno-Kings unit,-119.5327,36.6543,2016-09-24 20:00:00,2016-09-24,2016-09-23
463,Cow Fire,2016-09-25 07:15:00,CAL FIRE Shasta-Trinity Unit,Shasta,off Whitmore Road and Old Cow Creek Road,100,CAL FIRE Shasta-Trinity Unit,-121.93923000000001,40.0,2016-09-25 13:15:00,2016-09-25,2016-09-25
464,Sawmill Fire,2016-09-25 10:43:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",1547,"CAL FIRE Sonoma-Lake-Napa Unit, CAL PINE, Napa County Fire, Cloverdale FPD, Geyserville FPD, Healdsburg FD, Windsor FPD, Sonoma and Lake County Sheriff's Office, CA Highway Patrol, Red Cross, CA Dept. of Corrections and Rehabilitation, North Bay Incident Management Team, Sonoma County Animal Services",-122.82895,38.80017,2016-09-29 17:00:00,2016-09-29,2016-09-25
465,Tobin Fire,2016-09-26 13:23:00,US Forest Service - Plumas NF,Plumas,north of Hwy 70 and west of Jackass Creek Road ,248,US Forest Service - Plumas NF,-121.32,39.92,2016-10-06 17:15:00,2016-10-06,2016-09-26
466,Loma Fire,2016-09-26 14:42:00,CAL FIRE Santa Clara Unit,Santa Clara,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,4474,"CAL FIRE Santa Clara Unit, California Highway Patrol, Santa Clara County Sheriff’s Office, Santa Cruz County Sheriff’s Office, California Department of Corrections and Rehabilitation, San Jose Water Company, Santa Clara Valley Water District, Pacific Gas and Electric and Santa Clara County Office of Emergency Services, California Conservation Corps, Red Cross, Santa Clara County Fire Safe Council, Santa Clara County Parks, Santa Clara County Open Space District, and Mid-Peninsula Open Space District, Santa Clara County Roads and Airports, Santa Cruz Public Works, Pacific Gas and Electric, and Cal OES.",-121.85318000000001,37.106320000000004,2017-09-19 10:30:00,2017-09-19,2016-09-26
