,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1037,Bridle Fire,2018-07-06 10:40:00,CAL FIRE Santa Clara Unit,Santa Clara,"off Bridal Path Drive and Butch Drive, east of Gilroy",116,CAL FIRE Santa Clara Unit,-121.53586000000001,37.06367,2019-01-04 09:54:00,2019-01-04,2018-07-06
1038,Stoney Fire,2018-07-12 22:45:00,Chico City Fire,Butte,"Bidwell Park, Upper Park Rd, Chico",962,Chico City Fire,-121.76858999999999,39.77124,2019-01-04 09:48:00,2019-01-04,2018-07-12
1039,Gray Fire,2018-07-13 14:32:00,CAL FIRE San Bernardino Unit,San Bernardino,Muscoy,12,CAL FIRE San Bernardino Unit,-117.35606000000001,34.171786,2019-01-04 09:47:00,2019-01-04,2018-07-13
1040,Ferguson Fire,2018-07-13 21:36:00,USFS Sierra National Forest ,Mariposa,"Highway 140 and Hite Cove, near El Portal",96901,USFS Sierra National Forest ,-119.88581,37.6549,2019-01-04 09:48:00,2019-01-04,2018-07-13
1041,Lebec Fire,2018-07-08 13:38:00,Kern County Fire Department,Kern,"off Lebec Road and Lebec Oaks Road, North of Lebec",62,Kern County Fire Department,-118.87881000000002,34.86022,2019-01-04 09:54:00,2019-01-04,2018-07-08
1042,Dark Fire,2018-07-10 12:42:00,CAL FIRE Butte Unit,Butte,"south of Rich Gulch, near Lake Oroville",11,CAL FIRE Butte Unit,-121.51772,39.66492,2019-01-04 09:51:00,2019-01-04,2018-07-10
1043,Curie Fire,2018-07-10 15:08:00,Unitied Command: CAL FIRE & San Jose City Fire Department,Santa Clara,"Curie Dr and San Ignacio Ave, southeast of San Jose",70,Unitied Command: CAL FIRE & San Jose City Fire Department,-121.79189,37.22545,2019-01-04 09:50:00,2019-01-04,2018-07-10
1044,Hale Fire,2018-07-10 16:45:00,CAL FIRE Santa Clara Unit,Santa Clara,at Hale Ave and Monterey St. in Morgan Hill ,51,CAL FIRE Santa Clara Unit,-121.702547,37.163594,2019-01-04 09:51:00,2019-01-04,2018-07-10
1045,Kelley Fire,2018-07-14 20:46:00,US Forest Service - Modoc National Forest,Modoc,"off Hwy 299 E & County Rd 74, west of Devils Garden Conservation Camp",52,US Forest Service - Modoc National Forest,-120.61108,41.50105,2019-01-04 09:46:00,2019-01-04,2018-07-14
1046,Panoche Fire,2018-07-11 16:40:00,CAL FIRE San Benito-Monterey,San Benito,"off Panoche Road, 2 miles north of CAL FIRE Antelope Station, southeast of Hollister",278,CAL FIRE San Benito-Monterey,-121.0454,36.65351,2019-01-04 09:49:00,2019-01-04,2018-07-11
